,log
0,"bde, ecbcbde, bcbed, bhcbcbabfdh, be, bhcdhbedaebhde, bde, bdhe, bcbde, gdeabchbe, bedabcbcbeadbde, bcbeadbhcbe, ecbbcbedabd, badbedabcbed, bhdeabed, bcbcbcbe, babcbgbbcbccbcdcbbbdaeedadedabed, bdaebcbdaebcbde, babcdaebcbcbde, bcbdaebgbdbdahebedabcbdeahbceacbcbcbdabcbebde, bcbdf, bcgcbe, fde, bdheabcbeh, bdebcbaaead, bhdaebed, eadbchbde, bcbde, bdabchbcbhcbdhf, bcbed, bcbeabdbdeacbcbdabcbcbhde, cedahbcbccbde, bchbdeabde, bcbeadbbccbcbcbdabdaebhabeh, bde, bcbedabcdadh, bcbe, bcbcbcbcbdaebeadbed, bdhe, bcbeadbce, beabd, bhcbdaebcbdaebcgchbehdabed, bcbdeabeadebhbaabhcbdaebedh, behdabcbeadbed, bcgcebchbhccbedagceaded, bed, bebabedadcbed, bbed, bde, acbeadd"
1,"bde, ecbcbde, bcbed, bhcbcbabfdh, be, bhcdhbedaebhde, bde, bdhe, bcbde, gdeabchbe, bedabcbcbeadbde, bcbeadbhcbe, ecbbcbedabd, badbedabcbed, bhdeabed, bcbcbcbe, babcbgbbcbccbcdcbbbdaeedadedabed, bdaebcbdaebcbde, babcdaebcbcbde, bcbdaebgbdbdahebedabcbdeahbceacbcbcbdabcbebde, bcbdf, bcgcbe, fde, bdheabcbeh, bdebcbaaead, bhdaebed, eadbchbde, bcbde, bdabchbcbhcbdhf, bcbed, bcbeabdbdeacbcbdabcbcbhde, cedahbcbccbde, bchbdeabde, bcbeadbbccbcbcbdabdaebhabeh, bde, bcbedabcdadh, bcbe, bcbcbcbcbdaebeadbed, bdhe, bcbeadbce, beabd, bhcbdaebcbdaebcgchbehdabed, bcbdeabeadebhbaabhcbdaebedh, behdabcbeadbed, bcgcebchbhccbedagceaded, bed, bebabedadcbed, bbed, bde, acbeadd"
2,"bde, ecbcbde, bcbed, bhcbcbabfdh, be, bhcdhbedaebhde, bde, bdhe, bcbde, gdeabchbe, bedabcbcbeadbde, bcbeadbhcbe, ecbbcbedabd, badbedabcbed, bhdeabed, bcbcbcbe, babcbgbbcbccbcdcbbbdaeedadedabed, bdaebcbdaebcbde, babcdaebcbcbde, bcbdaebgbdbdahebedabcbdeahbceacbcbcbdabcbebde, bcbdf, bcgcbe, fde, bdheabcbeh, bdebcbaaead, bhdaebed, eadbchbde, bcbde, bdabchbcbhcbdhf, bcbed, bcbeabdbdeacbcbdabcbcbhde, cedahbcbccbde, bchbdeabde, bcbeadbbccbcbcbdabdaebhabeh, bde, bcbedabcdadh, bcbe, bcbcbcbcbdaebeadbed, bdhe, bcbeadbce, beabd, bhcbdaebcbdaebcgchbehdabed, bcbdeabeadebhbaabhcbdaebedh, behdabcbeadbed, bcgcebchbhccbedagceaded, bed, bebabedadcbed, bbed, bde, acbeadd"
3,"bde, ecbcbde, bcbed, bhcbcbabfdh, be, bhcdhbedaebhde, bde, bdhe, bcbde, gdeabchbe, bedabcbcbeadbde, bcbeadbhcbe, ecbbcbedabd, badbedabcbed, bhdeabed, bcbcbcbe, babcbgbbcbccbcdcbbbdaeedadedabed, bdaebcbdaebcbde, babcdaebcbcbde, bcbdaebgbdbdahebedabcbdeahbceacbcbcbdabcbebde, bcbdf, bcgcbe, fde, bdheabcbeh, bdebcbaaead, bhdaebed, eadbchbde, bcbde, bdabchbcbhcbdhf, bcbed, bcbeabdbdeacbcbdabcbcbhde, cedahbcbccbde, bchbdeabde, bcbeadbbccbcbcbdabdaebhabeh, bde, bcbedabcdadh, bcbe, bcbcbcbcbdaebeadbed, bdhe, bcbeadbce, beabd, bhcbdaebcbdaebcgchbehdabed, bcbdeabeadebhbaabhcbdaebedh, behdabcbeadbed, bcgcebchbhccbedagceaded, bed, bebabedadcbed, bbed, bde, acbeadd"
4,"bde, ecbcbde, bcbed, bhcbcbabfdh, be, bhcdhbedaebhde, bde, bdhe, bcbde, gdeabchbe, bedabcbcbeadbde, bcbeadbhcbe, ecbbcbedabd, badbedabcbed, bhdeabed, bcbcbcbe, babcbgbbcbccbcdcbbbdaeedadedabed, bdaebcbdaebcbde, babcdaebcbcbde, bcbdaebgbdbdahebedabcbdeahbceacbcbcbdabcbebde, bcbdf, bcgcbe, fde, bdheabcbeh, bdebcbaaead, bhdaebed, eadbchbde, bcbde, bdabchbcbhcbdhf, bcbed, bcbeabdbdeacbcbdabcbcbhde, cedahbcbccbde, bchbdeabde, bcbeadbbccbcbcbdabdaebhabeh, bde, bcbedabcdadh, bcbe, bcbcbcbcbdaebeadbed, bdhe, bcbeadbce, beabd, bhcbdaebcbdaebcgchbehdabed, bcbdeabeadebhbaabhcbdaebedh, behdabcbeadbed, bcgcebchbhccbedagceaded, bed, bebabedadcbed, bbed, bde, acbeadd"
5,"bde, ecbcbde, bcbed, bhcbcbabfdh, be, bhcdhbedaebhde, bde, bdhe, bcbde, gdeabchbe, bedabcbcbeadbde, bcbeadbhcbe, ecbbcbedabd, badbedabcbed, bhdeabed, bcbcbcbe, babcbgbbcbccbcdcbbbdaeedadedabed, bdaebcbdaebcbde, babcdaebcbcbde, bcbdaebgbdbdahebedabcbdeahbceacbcbcbdabcbebde, bcbdf, bcgcbe, fde, bdheabcbeh, bdebcbaaead, bhdaebed, eadbchbde, bcbde, bdabchbcbhcbdhf, bcbed, bcbeabdbdeacbcbdabcbcbhde, cedahbcbccbde, bchbdeabde, bcbeadbbccbcbcbdabdaebhabeh, bde, bcbedabcdadh, bcbe, bcbcbcbcbdaebeadbed, bdhe, bcbeadbce, beabd, bhcbdaebcbdaebcgchbehdabed, bcbdeabeadebhbaabhcbdaebedh, behdabcbeadbed, bcgcebchbhccbedagceaded, bed, bebabedadcbed, bbed, bde, acbeadd"
6,"bde, ecbcbde, bcbed, bhcbcbabfdh, be, bhcdhbedaebhde, bde, bdhe, bcbde, gdeabchbe, bedabcbcbeadbde, bcbeadbhcbe, ecbbcbedabd, badbedabcbed, bhdeabed, bcbcbcbe, babcbgbbcbccbcdcbbbdaeedadedabed, bdaebcbdaebcbde, babcdaebcbcbde, bcbdaebgbdbdahebedabcbdeahbceacbcbcbdabcbebde, bcbdf, bcgcbe, fde, bdheabcbeh, bdebcbaaead, bhdaebed, eadbchbde, bcbde, bdabchbcbhcbdhf, bcbed, bcbeabdbdeacbcbdabcbcbhde, cedahbcbccbde, bchbdeabde, bcbeadbbccbcbcbdabdaebhabeh, bde, bcbedabcdadh, bcbe, bcbcbcbcbdaebeadbed, bdhe, bcbeadbce, beabd, bhcbdaebcbdaebcgchbehdabed, bcbdeabeadebhbaabhcbdaebedh, behdabcbeadbed, bcgcebchbhccbedagceaded, bed, bebabedadcbed, bbed, bde, acbeadd"
7,"bde, ecbcbde, bcbed, bhcbcbabfdh, be, bhcdhbedaebhde, bde, bdhe, bcbde, gdeabchbe, bedabcbcbeadbde, bcbeadbhcbe, ecbbcbedabd, badbedabcbed, bhdeabed, bcbcbcbe, babcbgbbcbccbcdcbbbdaeedadedabed, bdaebcbdaebcbde, babcdaebcbcbde, bcbdaebgbdbdahebedabcbdeahbceacbcbcbdabcbebde, bcbdf, bcgcbe, fde, bdheabcbeh, bdebcbaaead, bhdaebed, eadbchbde, bcbde, bdabchbcbhcbdhf, bcbed, bcbeabdbdeacbcbdabcbcbhde, cedahbcbccbde, bchbdeabde, bcbeadbbccbcbcbdabdaebhabeh, bde, bcbedabcdadh, bcbe, bcbcbcbcbdaebeadbed, bdhe, bcbeadbce, beabd, bhcbdaebcbdaebcgchbehdabed, bcbdeabeadebhbaabhcbdaebedh, behdabcbeadbed, bcgcebchbhccbedagceaded, bed, bebabedadcbed, bbed, bde, acbeadd"
8,"bde, ecbcbde, bcbed, bhcbcbabfdh, be, bhcdhbedaebhde, bde, bdhe, bcbde, gdeabchbe, bedabcbcbeadbde, bcbeadbhcbe, ecbbcbedabd, badbedabcbed, bhdeabed, bcbcbcbe, babcbgbbcbccbcdcbbbdaeedadedabed, bdaebcbdaebcbde, babcdaebcbcbde, bcbdaebgbdbdahebedabcbdeahbceacbcbcbdabcbebde, bcbdf, bcgcbe, fde, bdheabcbeh, bdebcbaaead, bhdaebed, eadbchbde, bcbde, bdabchbcbhcbdhf, bcbed, bcbeabdbdeacbcbdabcbcbhde, cedahbcbccbde, bchbdeabde, bcbeadbbccbcbcbdabdaebhabeh, bde, bcbedabcdadh, bcbe, bcbcbcbcbdaebeadbed, bdhe, bcbeadbce, beabd, bhcbdaebcbdaebcgchbehdabed, bcbdeabeadebhbaabhcbdaebedh, behdabcbeadbed, bcgcebchbhccbedagceaded, bed, bebabedadcbed, bbed, bde, acbeadd"
9,"bde, ecbcbde, bcbed, bhcbcbabfdh, be, bhcdhbedaebhde, bde, bdhe, bcbde, gdeabchbe, bedabcbcbeadbde, bcbeadbhcbe, ecbbcbedabd, badbedabcbed, bhdeabed, bcbcbcbe, babcbgbbcbccbcdcbbbdaeedadedabed, bdaebcbdaebcbde, babcdaebcbcbde, bcbdaebgbdbdahebedabcbdeahbceacbcbcbdabcbebde, bcbdf, bcgcbe, fde, bdheabcbeh, bdebcbaaead, bhdaebed, eadbchbde, bcbde, bdabchbcbhcbdhf, bcbed, bcbeabdbdeacbcbdabcbcbhde, cedahbcbccbde, bchbdeabde, bcbeadbbccbcbcbdabdaebhabeh, bde, bcbedabcdadh, bcbe, bcbcbcbcbdaebeadbed, bdhe, bcbeadbce, beabd, bhcbdaebcbdaebcgchbehdabed, bcbdeabeadebhbaabhcbdaebedh, behdabcbeadbed, bcgcebchbhccbedagceaded, bed, bebabedadcbed, bbed, bde, acbeadd"
