,#node,depth,m_tree,root-op,sub_depth,tree
0,11,4,"*( ->( *( b, c, τ ), +( d, e ), h ), a, τ )",*,3,"*( ->( *( b, c, τ ), +( d, e ) ), a, τ )"
1,11,4,"*( ->( *( b, c, τ ), +( d, e, h ) ), a, τ )",*,3,"*( ->( *( b, c, τ ), +( d, e ) ), a, τ )"
2,11,4,"*( ->( *( b, c, τ ), +( d, e, h ) ), a, τ )",*,3,"*( ->( *( b, c, τ ), +( d, e ) ), a, τ )"
3,11,4,"*( ->( *( b, c, τ ), ->( d, e ) ), a, τ )",*,3,"*( ->( *( b, c, τ ), +( d, e ) ), a, τ )"
4,11,4,"*( ->( *( b, c, τ ), +( d, e, h ) ), a, τ )",*,3,"*( ->( *( b, c, τ ), +( d, e ) ), a, τ )"
5,11,4,"*( ->( *( b, c, τ ), +( d, e ) ), X( a, h ), τ )",*,4,"*( ->( *( b, c, τ ), +( d, e ) ), a, τ )"
6,11,4,"*( ->( *( b, c, τ ), ->( d, e ) ), a, τ )",*,4,"*( ->( *( b, c, τ ), +( d, e ) ), a, τ )"
7,11,4,"X( ->( *( b, c, τ ), +( d, e ) ), a, τ )",*,4,"*( ->( *( b, c, τ ), +( d, e ) ), a, τ )"
8,11,4,"*( ->( *( b, c, τ ), +( d, e ), h ), a, τ )",*,4,"*( ->( *( b, c, τ ), +( d, e ) ), a, τ )"
9,11,4,"*( *( b, c, τ ), a, τ )",*,4,"*( ->( *( b, c, τ ), +( d, e ) ), a, τ )"
10,11,4,"*( τ, a, τ )",*,5,"*( ->( *( b, c, τ ), +( d, e ) ), a, τ )"
11,11,4,"X( ->( *( b, c, τ ), +( d, e ) ), a, τ )",*,5,"*( ->( *( b, c, τ ), +( d, e ) ), a, τ )"
12,11,4,"*( +( *( b, c, τ ), +( d, e ) ), a, τ )",*,5,"*( ->( *( b, c, τ ), +( d, e ) ), a, τ )"
13,11,4,"*( ->( *( b, τ, τ ), +( d, e ) ), a, τ )",*,5,"*( ->( *( b, c, τ ), +( d, e ) ), a, τ )"
14,11,4,"*( ->( *( b, c, τ ), +( d, e, h ) ), a, τ )",*,5,"*( ->( *( b, c, τ ), +( d, e ) ), a, τ )"
15,14,4,"+( ->( *( e, f, τ ), b ), ->( a, d, g, h ) )",+,3,"+( ->( *( e, f, τ ), b ), ->( a, +( c, d ), g, h ) )"
16,14,4,"+( b, ->( a, +( c, d ), g, h ) )",+,3,"+( ->( *( e, f, τ ), b ), ->( a, +( c, d ), g, h ) )"
17,14,4,"+( ->( +( e, f, τ ), b ), ->( a, +( c, d ), g, h ) )",+,3,"+( ->( *( e, f, τ ), b ), ->( a, +( c, d ), g, h ) )"
18,14,4,"+( ->( *( e, f, τ ), b ), ->( a, +( c, d ), g ) )",+,3,"+( ->( *( e, f, τ ), b ), ->( a, +( c, d ), g, h ) )"
19,14,4,"+( ->( *( e, f, τ ), b ), ->( a, d, g, h ) )",+,3,"+( ->( *( e, f, τ ), b ), ->( a, +( c, d ), g, h ) )"
20,14,4,"+( ->( *( e, f, τ ), b ), ->( a, +( c, d ), g, h ), j )",+,4,"+( ->( *( e, f, τ ), b ), ->( a, +( c, d ), g, h ) )"
21,14,4,"+( ->( *( e, f, τ ), b ), ->( a, +( c, d, j ), g, h ) )",+,4,"+( ->( *( e, f, τ ), b ), ->( a, +( c, d ), g, h ) )"
22,14,4,"+( ->( ->( e, f, τ ), b ), ->( a, +( c, d ), g, h ) )",+,4,"+( ->( *( e, f, τ ), b ), ->( a, +( c, d ), g, h ) )"
23,14,4,"+( ->( *( e, f, τ ), b ), X( a, +( c, d ), g, h ) )",+,4,"+( ->( *( e, f, τ ), b ), ->( a, +( c, d ), g, h ) )"
24,14,4,"+( ->( *( e, f, τ ), b ), +( a, +( c, d ), g, h ) )",+,4,"+( ->( *( e, f, τ ), b ), ->( a, +( c, d ), g, h ) )"
25,14,4,"+( ->( ->( e, f, τ ), b ), ->( a, +( c, d ), g, h ) )",+,5,"+( ->( *( e, f, τ ), b ), ->( a, +( c, d ), g, h ) )"
26,14,4,"+( ->( *( e, τ, τ ), b ), ->( a, +( c, d ), g, h ) )",+,5,"+( ->( *( e, f, τ ), b ), ->( a, +( c, d ), g, h ) )"
27,14,4,"->( ->( *( e, f, τ ), b ), ->( a, +( c, d ), g, h ) )",+,5,"+( ->( *( e, f, τ ), b ), ->( a, +( c, d ), g, h ) )"
28,14,4,"+( b, ->( a, +( c, d ), g, h ) )",+,5,"+( ->( *( e, f, τ ), b ), ->( a, +( c, d ), g, h ) )"
29,14,4,"+( ->( *( e, f, τ ), b ), ->( a, +( c, d, j ), g, h ) )",+,5,"+( ->( *( e, f, τ ), b ), ->( a, +( c, d ), g, h ) )"
30,12,4,"*( ->( a, b ), X( *( d, e, τ ), c, τ ), τ )",*,3,"*( ->( a, b ), *( *( d, e, τ ), c, τ ), τ )"
31,12,4,"*( ->( a, b ), +( *( d, e, τ ), c, τ ), τ )",*,3,"*( ->( a, b ), *( *( d, e, τ ), c, τ ), τ )"
32,12,4,"*( ->( a, b ), *( *( d, τ, τ ), c, τ ), τ )",*,3,"*( ->( a, b ), *( *( d, e, τ ), c, τ ), τ )"
33,12,4,"*( ->( a, b ), +( *( d, e, τ ), c, τ ), τ )",*,3,"*( ->( a, b ), *( *( d, e, τ ), c, τ ), τ )"
34,12,4,"*( ->( a, b ), X( *( d, e, τ ), c, τ ), τ )",*,3,"*( ->( a, b ), *( *( d, e, τ ), c, τ ), τ )"
35,12,4,"*( ->( a, b ), *( *( d, X( e, i ), τ ), c, τ ), τ )",*,4,"*( ->( a, b ), *( *( d, e, τ ), c, τ ), τ )"
36,12,4,"*( ->( a, b ), *( *( d, e, τ ), τ, τ ), τ )",*,4,"*( ->( a, b ), *( *( d, e, τ ), c, τ ), τ )"
37,12,4,"*( a, *( *( d, e, τ ), c, τ ), τ )",*,4,"*( ->( a, b ), *( *( d, e, τ ), c, τ ), τ )"
38,12,4,"*( ->( a, b, i ), *( *( d, e, τ ), c, τ ), τ )",*,4,"*( ->( a, b ), *( *( d, e, τ ), c, τ ), τ )"
39,12,4,"*( ->( a, b ), *( +( d, e, τ ), c, τ ), τ )",*,4,"*( ->( a, b ), *( *( d, e, τ ), c, τ ), τ )"
40,12,4,"*( ->( a, b ), *( X( d, e, τ ), c, τ ), τ )",*,5,"*( ->( a, b ), *( *( d, e, τ ), c, τ ), τ )"
41,12,4,"*( ->( a, b ), τ, τ )",*,5,"*( ->( a, b ), *( *( d, e, τ ), c, τ ), τ )"
42,12,4,"*( b, *( *( d, e, τ ), c, τ ), τ )",*,5,"*( ->( a, b ), *( *( d, e, τ ), c, τ ), τ )"
43,12,4,"*( ->( a, b, i ), *( *( d, e, τ ), c, τ ), τ )",*,5,"*( ->( a, b ), *( *( d, e, τ ), c, τ ), τ )"
44,12,4,"*( ->( a, b ), *( ->( d, e, τ ), c, τ ), τ )",*,5,"*( ->( a, b ), *( *( d, e, τ ), c, τ ), τ )"
45,14,5,"X( +( a, b, c ), +( X( *( e, f, τ ), d ), g, h ) )",X,3,"X( +( a, b, c ), +( ->( *( e, f, τ ), d ), g, h ) )"
46,14,5,"X( +( a, b, c ), +( ->( *( e, X( f, j ), τ ), d ), g, h ) )",X,3,"X( +( a, b, c ), +( ->( *( e, f, τ ), d ), g, h ) )"
