log
"bde, ecbcbde, bcbed, bhcbcbabfdh, be, bhcdhbedaebhde, bde, bdhe, bcbde, gdeabchbe, bedabcbcbeadbde, bcbeadbhcbe, ecbbcbedabd, badbedabcbed, bhdeabed, bcbcbcbe, babcbgbbcbccbcdcbbbdaeedadedabed, bdaebcbdaebcbde, babcdaebcbcbde, bcbdaebgbdbdahebedabcbdeahbceacbcbcbdabcbebde, bcbdf, bcgcbe, fde, bdheabcbeh, bdebcbaaead, bhdaebed, eadbchbde, bcbde, bdabchbcbhcbdhf, bcbed, bcbeabdbdeacbcbdabcbcbhde, cedahbcbccbde, bchbdeabde, bcbeadbbccbcbcbdabdaebhabeh, bde, bcbedabcdadh, bcbe, bcbcbcbcbdaebeadbed, bdhe, bcbeadbce, beabd, bhcbdaebcbdaebcgchbehdabed, bcbdeabeadebhbaabhcbdaebedh, behdabcbeadbed, bcgcebchbhccbedagceaded, bed, bebabedadcbed, bbed, bde, acbeadd"
"efaedcahfeb, acdgbh, eajbdhgh, aejcgdjbh, acgdehfjejb, aedghfefeb, adegbhc, ajecjgfheb, adjgefjecejiefeedefeb, acghjejdfefeb, aceegfefefe, adgefcfefeb, eacgdhfefeb, ajefcegdfehfeeeb, eacbdgi, adcegbh, aefjefebdcgjh, eafcgjedfafjefefeb, aefcdegha, acjghefejfdeb, ajedggcfeb, adgchbfefefe, adgecbh, eacjdgfhefefefeb, dcgdjeb, aefdcjghjcfefeb, acdegbh, aefecihfejfebj, aebcgdb, aefjdghceb, cghdeb, efebajgdh, ejabcdgh, acggdeefefhejb, ajefcgdefefeb, afccdgh, aecdjfghefeb, efeffaadcgh, adeghcc, ebacghd, aafdceeeghb, acdefgceb, adgfhceb, abgehb, acdgeb, aejfefefefceahb, aedcghcefjb, acgdaefefe, afcdghj, febajdcgh"
"abdabdcdabdedeidabdicdededacfbdededichab, ab, bdifdechcdeabi, abeabdabdicdcdeddeidfccecidabdedaf, abideadcdedabdab, gbiediedeedededdedabdab, eb, ab, ab, abdedededaib, a, abi, ab, abdeidiededededeideddedediab, abdededeededabddab, abfededcdedediedededabdabdediedeihcdcdfdiedededab, cbdgdeidcidcdcdiedaibiddedeeidab, abdedbdebcdabdcdab, aibdedabdab, abdedaib, abdededabdcdedcdbdededeidaeededab, ab, ab, abdiabdbdeabheedeidedecabdabdegedcdedicdibdeedeidebab, aidddae, abdedab, aib, ab, bdedcdededcdcididabdcddb, ebdcdad, aibdedab, b, ab, ab, ab, afdceeidabdicdabdbdab, abddcdeidcdedcdiegab, abdcdcdefac, abdedb, a, abedab, aibdedcdedabdeedea, ab, bdedidb, abdededededab, bdaddcdab, abab, abdedebeaededededab, e, abdedabdabi"
"ghfefefefefedj, bca, gaefjed, cab, bca, ba, ghed, cab, abjc, bca, ghjefejfed, cab, bc, ajbc, hgefed, bca, bca, ceb, bac, bac, hgefed, cbja, ab, hjgd, agb, bac, bca, bac, gefefefed, bac, ghged, da, gaefed, bca, bjac, acb, cab, ac, bcja, ba, ehdh, cb, ged, cabj, ab, hgefed, acb, acb, ca, ghh"
"hicdjckefcegcdcab, hicab, jcegckefcdcab, hicefckdkcab, hicab, hcfb, iidcefchgkcegcegcfcegab, hicab, hiab, hicdckegckaj, hikckcakb, icab, hicakb, hccdcab, hiccefcab, hicab, hcdedcebab, hicb, hicab, hkikjf, hicckab, hceb, higgcefcab, hcab, hicefcab, hicdcab, hicab, hjcdcakb, hkfdcae, hicdcab, hicefcab, icab, hagab, hikcefcdcickefcab, hikcag, hicegcab, hdckabk, hicab, hkicegcab, hkickdcefcegce, hicdcab, hickdcegkcab, hicdcab, hikcefdbk, hikcab, hicabk, hceecab, hdckab, hiabk, hicegcfbk"
"ggfb, afb, adfegc, fagdce, afcde, fagdce, gab, ac, afbde, afgdec, acghef, gafdce, fgacd, ecde, fage, fhgaec, bfga, afgcde, fgb, afbg, fagcde, gfab, ghdahec, fbag, gfacdc, agb, gfabh, gcafde, fgadche, fbga, afgcde, gaf, afbg, gfacd, abgfh, fcagf, afgcc, gafcde, fagcde, fgab, bfda, gafcde, fag, gab, afhbg, gfab, egcade, gfcade, afgchdeh, gafhce"
"bdgha, bdefc, debhg, baghc, dcg, cahbg, biahgc, badbf, dbefa, ghabd, aacff, bahigc, gaihbd, cabhg, bace, bagc, baecc, baicgh, dhdag, bdfc, badhg, dbag, cbefa, biacef, badef, daiebf, bacg, badhg, gcgaa, dagef, gbhcc, badgh, aefa, baded, beca, bciae, efcbai, bcaef, dibeifa, eacef, cbagh, bacgh, cbah, biahcg, bdagh, acgbh, badhg, baefd, badgh, bae"
"gdbfhjcdeja, hjdfacgdcfebdjbcjefhdebcfgda, a, gda, heebjfhcda, fdbecgdja, gda, gfaj, hdja, gdfcbgeda, hda, gcbfged, hda, gdbefcadcbebgdc, hda, hda, hdecbgda, gdbcehda, hdcfbgdefbceda, gdfbecgdbcjfega, hdbfcgeda, gda, hdjeafcgdecfhdfbjejcgbcbhda, hdebcfda, hdcbfejhdbefcda, hdefbcgdbcgfedbfecgjda, da, hda, gdcbefjgdfcbejgdaj, hdfecgdbfbchdfegda, diecbgdbcjgdejcbfhdeafdhda, gdefcbhdbcefgda, hda, gda, daj, hda, hda, hd, gdbcdehda, gdjcfbhda, hdfcehda, cda, da, hjda, ga, gdfecbfgejbchfda, gdbefcgfcfedbcfegda, hdjeffhjbdebjcfgdfhgba, hdbfehdcefhibjbfcehjhcfebhdecbffdbcfehda, gda"
"acd, ac, acd, abfbeb, abebfbf, acd, ab, cd, b, acd, acd, abfbebf, acd, ab, abfbfbheb, abh, add, abebeb, ahchd, abebfbh, abfb, abh, acd, acd, acd, acb, achd, abeb, ab, ab, cg, acd, acd, acd, cd, ab, acd, fbebeb, acd, ecd, abebeb, abfbfhb, bfb, acd, abeb, ab, acd, abebfbh, acd, ad"
"b, bc, df, bc, bc, dehadhf, bc, bc, bc, bhc, cc, deahcg, deadf, bc, de, bc, dc, bc, bc, be, ec, bc, ba, bc, c, bc, bc, bc, bc, f, bc, bc, bhc, df, df, bc, deade, bc, dfahdfahdfade, df, bc, bc, fade, de, bc, bhc, b, df, degdeadhe, bc"
"fi, bbabaababa, aba, g, aaaa, a, f, e, d, cccdcdccecfcd, a, fce, ababa, dcecfcfchcif, cfcfdcidcff, f, abababa, bababa, fi, g, e, fce, ecfcfgfcecd, ai, a, a, a, d, a, aba, e, a, f, f, fce, abiaba, e, a, e, aba, e, ecd, e, ababababa, eice, ecfcd, a, ai, aba, a"
"daj, bg, bd, djb, ad, bifhi, be, bc, hd, cb, eeghi, acj, fh, da, ac, egai, aegh, b, bc, db, bd, bd, aefhi, beghi, ca, abghi, egajhi, ajc, d, aeghi, aeihji, befhi, egjhi, ca, b, ac, a, bb, cb, ac, bd, aeghi, bd, iahi, bjefi, adj, afjhi, befhi, ahi, beghi"
"efe, b, e, h, g, e, i, efecda, adbdchdcbdcgcdgdkcadkac, g, a, ekfefkf, h, h, hcgdfedg, hdcbcgd, bdce, g, b, g, adbcdca, ak, efefe, hcdhhc, cda, cdb, edcefe, gcdh, g, b, b, edcbchd, g, feigcdiedcbcdefkefecdefefffefekdhcadchcefdbcdgcdkb, gckghcg, akcdkefefekfecidccgdcecbd, gckbdch, h, bdcadg, a, hdcadca, g, h, hckde, a, h, b, hdcg, adchdca, g"
"affabh, a, acaba, abkabckcababacababkababa, ababaeacdckdcdcabacdcdcabajaefaababababfef, acabkackdkabca, babababacdcfba, akefaekea, abeacdfakbabacdcdcadcababaefa, abaefaefacababakbabacabgbkacaca, abkaefakifa, abacaefacababkacacdccabaefaefabaacabaabkaaaba, adababa, abacabaefababa, ahdcdcdacdgdcdcdcacdcak, ababacdcdcabacadckda, a, a, ababababachca, abakcdcabcacabaefaekfabkdckcdcacababa, aca, a, eefa, abkacdckabakbj, akhacabibkaba, aabaefakeabababkabafaefahcbacabkababdefakdcabababjheabkaefhba, abkabackdccdcddcaba, aaadkckjcaakcaefaba, ababaj, a, ababaaaefababacaba, aba, acdcababaefabkabakcdcca, abacaba, aefabaefaekfakcaefaba, abbefcdcdcabababababi, abakbabbabak, fbgcdcdcdcakcabababbababakbbaccdcdcica, akbabkabeffbababahcaba, abababacdcdcdcgcabaegababefbakbacaefagaaefacdcaaaea, aba, acaca, aefabababaefa, acdcccdcdcdkcaba, a, ackcdckccdcdkcababackdcakefkababjba, hbabkakacacdcdcadcabababkabfabaca, aca, abacdcakefkabaedcdedcabaacdcdccdcdcdgaefbcdcdckjcdkcakbabakdcababafaefkabakcdkcdcdcacafaefaefaefa, aefacaefa"
"ghbdcjeafehbdjfeacahdceahbcdefgghbcfjeaghdbcfbeaghbcgaghbcdef, ghbcfde, ghbcfagejbcdjefaghjdfe, ghbdceafghbdcfagjhedcef, gjhbdcfeagabcaefahbcdfe, ghbdcjef, cdbcdfghbcefdj, ghidjcef, ghbdcgafghfefc, ghbdced, ghbdcef, ahbdcejfahjbdcfajegjhbdcfd, ibfadeghbjcdeajgfhbcdeafgbdhefajhbdcjfe, ghbdcdaeghbdcejf, ghbcefd, ghjbceafgdhbdcfaeghbcdefaghbdcef, ghjecfde, gjhbdcee, gfcjdf, ihjbdceagfhdfefaghbdcfe, ghbdeiaghbcdebfghgcefajghbdcjef, ghbdcg, ghdjejcfaghbdc, ghbdceaghfbcbej, gbjcbef, ghbjdfce, ghdfeaghbdccafghbcdfe, ghgcedfaghbdfj, gbcdfeagjhbcfed, ghjbdcjfe, ghbdfjeaghbdcfe, ghbdecf, gjhbcfdej, ghbcefaghbdecf, ghdcfed, ghjbcdfe, ghbcdfeaghjadceafghbded, ghbdjcjfagehbdef, ghbdfe, ghbbfe, ghbfde, gbcfjaegchjbcdfe, ghbdcfe, ghbcdfejagjhjbdcfe, hbcgfebhdg, hbdcfe, gbdjcefgghjbdeajghbdcf, ghbcdeafghbdcef, ehbdfec, ghjbdeafghbdcfaghbedcefagbcdfe"
"bfa, be, bcdbcdbeha, bcdhbfa, bcdbchdbfa, bcbfa, ffa, bea, fa, cdbeha, bcdcdbea, bea, bcabeah, bcdbfa, bea, bea, beah, bea, bhfg, bea, bhdbcdbcbbcdbfha, bhcdbfa, fd, bea, ffa, bfa, acdbah, bfb, bcdfa, bfa, bea, bcbea, bf, be, bfa, eea, cdbea, bdbhcdbcdbb, bea, bchdhbcdbeha, bgg, bcdbccbcdbe, bfa, bhcecdbcdbea, bea, bcdbhcgbec, bea, bcdbadbea, bea, bea"
"abdgcdfbb, bdec, ahbec, ab, ab, acdebh, acdfa, ahb, cdaebdec, abdcc, ac, acdec, ab, adecdehb, ab, ahb, ab, ba, abeb, ca, ac, abdcb, ahb, ba, ad, ab, be, abh, a, cdec, a, a, acdfdecdeb, cdedfc, acdfc, abdfc, agdeb, ahbdec, bhadecdfc, acde, achdbdeb, acdebdfb, ac, ab, ab, ac, acdab, ac, acdhec, afdeb"
"hbagefi, bgdahf, gibhcd, gbahcd, aihgfbe, baighfe, hgaibef, bgahcdi, baghfe, bgahce, acgebh, gbheef, gcdba, hhagcd, bagihcd, abghicdi, aghbfe, higabcd, aibgcg, baghcd, ahgbef, hbagcd, ghbaefi, baigicd, ahgbife, abghihe, ghcidbai, ghfaeb, hgbacd, gbhacd, habgfe, hgbef, acbdgh, ghbace, ahcd, dgbifeg, gabhcd, baacd, hagbfe, hbaghe, ghbacd, ahgbcd, ahibbge, ahgcd, bhafgid, gbahca, gahbcg, bghacid, hiaigcd, gbahcd"
"ab, egcigc, c, acfc, edcci, dibe, ab, dbe, ed, eidcficfc, be, ab, ab, edcgggbfc, eb, edcgc, decfcgc, de, c, gcidfc, ebid, acgic, dec, ab, dec, abi, deb, acfci, edceggcgg, dcfcfc, edcgc, ac, ab, acfc, ebb, cfc, aib, ab, ab, ceb, edb, bbd, deb, edc, ab, ac, ac, acec, edb, ab"
"ijacbj, ijjdbh, ijakebg, ijaebg, iaaebh, ijaebh, ijacbhk, jafbh, jaekbg, ijaibgk, ijadkbg, ijakbg, ijafbh, ijaebh, ijafkbg, ijachk, ijaabg, ijaebg, ijaebh, ijacbkg, ijaebg, ijaeba, ijafbg, ikjacbh, ijacbh, ijacbg, ijafbkg, jaebh, ijakebg, ikjaebh, ijackbh, ijakfbh, ijaebh, ikjkacbh, ijkadkba, ijakcb, igagbc, bjackg, ijach, ijadh, jabd, ijafbg, ikafb, ijadbg, ijaebh, ijaebh, ijakcbb, idakebg, ijadbg, iaebh"
"cead, h, g, g, g, eead, g, g, baeid, g, g, h, h, g, heda, g, g, h, h, h, edba, bfad, g, g, g, dca, g, h, fidbia, a, g, g, cfdai, h, beadi, edbai, g, h, h, edai, ecda, h, h, g, g, cfda, fad, a, h, hi"
"bebgfe, cd, b, agjfa, ecdjgjcb, cd, cdgfa, bhfbgfgea, a, bgfa, a, a, ci, aj, b, afecdgfjb, cdhdecd, aea, cdhfahfb, cdhfcdecd, b, cb, cd, aecd, b, agfcd, cihf, cdeba, cdhfb, cdeb, b, a, cdhfaeje, a, b, bhfcdj, cdhfae, cd, acjd, bhia, bj, b, b, a, a, a, bgfahfb, bea, cd, aeb"
"fga, bi, fgcdcfcfgcdcdcfgcga, ba, agcfgja, ba, fga, b, fjghdcdddcecdcdjcfgcdcecdcjfgcfcdcecfgjcccdfjgfga, fgg, ha, ba, fgfgf, ba, fjgcfaj, fjgecfgbdcfga, fga, fga, ba, ba, fgccecjfgcfgcdceceeigcfga, ba, baj, fa, a, fga, ba, ba, ba, fgcfgcdcfga, fga, fgcdcdcdcecdcjdjfgfgceccgcjfgjfgcfgcdcfga, fgcecfdca, fgaj, fgcfga, b, baj, ba, ba, aa, ba, ba, ba, ba, baj, fga, fga, fgcdcdcfg, ba, f"
"dedbcbbc, bdkbcbcebdcbcebckdbedkabcbd, f, g, gk, g, bdaccadbedadebcdb, gk, g, g, g, g, f, bdedadedjeddkb, bkd, h, f, g, dbecbadjddadbbkcbedck, g, g, f, db, f, bcdbed, f, g, f, g, daebdabacdedcbededdaebkbebdbk, f, f, g, j, baddbcbcb, h, f, dadebcchdkedcbkcbdededkadb, f, f, badebdadbcabbjgbcbcbcbcbcbk, f, bcdbd, f, dbaeabdb, g, dedk, f, bdeadbcbdeddabcbadedbcbheacbkcbcbdcbedcbcbed, gk"
"fcd, bdc, cdhb, bchdddc, bcd, dgc, fcadc, fdcacaddg, edc, fcdadc, dcf, edcacaccdacdadac, fcadcacdh, edcacdahdc, bcd, fdc, dcahddabcdhaeecd, cdb, eac, bhdcacd, bc, dhcfhadc, fhdc, bdh, dafhdc, dcafcadchdacb, bcdacdadadc, ddbh, ecd, bcdacdacecgacd, aaedc, ac, fdc, edchaaccd, ehdc, cdb, ecd, bd, bdc, dcadcacac, bcacdacdaeahdc, gbc, fdhc, fcdh, dcfacd, dcacahdchadc, edc, bchaddcacaddcacaddcadc, dcafcdh, ddhe"
"ecdccdciacd, caieicidc, bc, afdcdcdc, ecdccccdcdadcacdc, cdfcdcidcafdcacacac, ecdcdca, edgacac, fcacdcdc, bc, cf, ecaaac, cdcidiecec, fcccac, ccdcidcacaccdc, fcac, bic, fcdcdcdcdcacacdcac, fci, fc, fca, fci, cdcdicfdciaedcacicdhgcdcacacec, bcaiacdcidc, ecac, fbdc, cfdc, chcedicdci, ecdcdcdcdcdgac, ebacdc, fc, cdcbdd, fcdc, cafcdc, bc, ecaicdcacidc, cih, ba, cdicdcdcacacacdcaicac, cabcdcdc, cdcafcacacga, cib, ccdcacafacacac, cbac, cgaicidcdchcbciacdc, bcacdc, cc, bccdcaac, fc, cgfecdcdcibc"
"jgbah, igkhba, jkgbha, ighkba, jcb, jhbgj, dcba, ekfcbk, efca, ica, cba, hbg, jcba, efghba, afca, digba, iceak, jkcba, ickba, icbka, jhbkag, ekfcb, efcbka, jfbha, jcba, cba, dhgba, jgba, efhba, efhbakg, icba, dcba, edgbahk, cb, jhbakg, cfckba, efegba, djba, jghba, efhbga, dhbag, jbha, jggha, dbgak, fjbh, icba, efcba, dgkb, icba, icba"
"baci, acej, acbh, abck, cbai, abci, ecbhk, abhc, acikb, bcakhk, cabh, aefcbfgc, badegdefgfgfgfifgfgf, akcbi, bcai, abhh, bahi, cibidfgf, bcia, cabh, abci, bhaa, abchk, cabh, chaf, jhac, abcfdf, aci, fab, bcdaf, bc, ahch, acbi, bacdef, cbi, cbkai, bahc, bcia, akchb, iibi, bcah, fadbgfkfgfgf, bcaedf, cbha, cabh, acbh, akch, bcaik, aci, cabik"
"abdc, abdfgdh, abdjgh, acbdd, abgdedh, bjdghedfd, abc, adjbc, adjedbghfd, abdgh, adfbcded, adghfdjfd, abdd, abdedjh, abdfd, bdagh, ajdbg, bjadjgjh, bgahedfdfdfd, badcfdad, abdgdh, adcjbfdj, baghded, abjgh, bjcad, badccd, abjdghed, bafgjh, abdfgdh, abdgh, bghda, badegdh, bdghedj, badjghjfdfd, bcgd, bdca, abgjddhdejd, bfdc, bacd, babdhed, bdjajegjdh, bajdjgedh, bajgjdh, bdagh, badgh, badc, abdhjfd, adcb, biaedc, abcdjedfd"
"baghc, abcghi, bcgfh, acgbi, acbgh, afed, bedif, bfeda, bdea, bfdie, abfed, hbc, befde, baedf, abgh, bicah, abdfe, bacgh, abcgih, aedf, cagih, bacgh, abcgh, aedfb, aibdf, baedf, abdfe, abdef, aghb, bacgh, abegh, baghc, bacgh, abgch, abefd, acgh, bgghc, badef, abfde, bagihci, feba, bgch, edabf, caibgh, bafed, abcgh, acbgh, badeif, aibcgih, afeidd"
