,0,1,2,3,4,5,6,10,11,7_+,7_->,7_X,7_*,8_+,8_X,8_->,8_*,9_+,9_X,9_->,9_*
0,0.0,0.0,0.5,0.5,0.0,0,0,0.6,0.6,1,0,0,0,1,0,0,0,1,0,0,0
1,0.0,0.0,0.0,1.0,0.0,0,0,0.8,0.6666666666666666,1,0,0,0,0,1,0,0,0,1,0,0
2,0.0,0.0,0.5,0.5,0.0,0,0,0.6,0.6,1,0,0,0,1,0,0,0,1,0,0,0
3,0.25,0.0,0.3333333333333333,0.6666666666666666,0.0,0,0,0.4,0.4,1,0,0,0,0,0,1,0,0,0,1,0
4,0.25,0.0,0.3333333333333333,0.6666666666666666,0.0,0,0,0.4,0.4,1,0,0,0,0,0,1,0,1,0,0,0
5,0.0,0.0,0.5,0.5,0.0,0,0,0.6,0.6,1,0,0,0,1,0,0,0,1,0,0,0
6,0.0,0.0,0.5,0.5,0.0,0,0,0.6,0.6,1,0,0,0,1,0,0,0,1,0,0,0
7,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,1,0,0,0,1,0,0,0,1,0,0,0
8,0.0,0.0,0.5,0.5,0.0,0,0,0.6,0.5,1,0,0,0,1,0,0,0,0,0,1,0
9,0.25,0.0,0.3333333333333333,0.6666666666666666,0.0,0,0,0.4,0.4,1,0,0,0,0,0,1,0,0,0,1,0
10,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,1,0,0,0,1,0,0,0,1,0,0,0
11,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,1,0,0,0,1,0,0,0,0,0,1,0
12,0.0,0.0,0.5,0.5,0.0,0,0,0.6,0.6,1,0,0,0,1,0,0,0,1,0,0,0
13,0.0,0.0,0.0,1.0,0.0,0,0,0.8,0.8,1,0,0,0,0,1,0,0,0,1,0,0
14,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,1,0,0,0,1,0,0,0,1,0,0,0
15,0.4,0.0,0.4,0.4,0.2,0,0,0.4,0.4,0,1,0,0,0,0,1,0,0,0,1,0
16,0.4,0.0,0.4,0.4,0.2,0,1,0.4,0.4,0,1,0,0,0,0,1,0,0,0,0,1
17,0.0,0.0,0.0,0.0,1.0,0,0,0.8,0.8,0,1,0,0,1,0,0,0,1,0,0,0
18,0.5,0.0,0.4,0.2,0.4,0,1,0.4,0.4,0,1,0,0,1,0,0,0,0,0,0,1
19,0.4,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.6,0.6,0,1,0,0,0,1,0,0,0,1,0,0
20,0.5,0.0,0.4,0.2,0.4,0,0,0.4,0.4,0,1,0,0,1,0,0,0,1,0,0,0
21,0.4,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.6,0.6,0,1,0,0,0,1,0,0,1,0,0,0
22,0.4,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.6,0.6,0,1,0,0,0,1,0,0,0,1,0,0
23,0.4,0.0,0.4,0.4,0.2,0,0,0.4,0.4,0,1,0,0,0,0,1,0,0,0,1,0
24,0.3333333333333333,0.0,0.2,0.4,0.4,0,0,0.4,0.4,0,1,0,0,0,1,0,0,1,0,0,0
25,0.4,0.0,0.4,0.4,0.2,0,1,0.4,0.4,0,1,0,0,0,0,1,0,0,0,0,1
26,0.0,0.0,0.0,0.0,1.0,0,0,0.8,0.75,0,1,0,0,1,0,0,0,1,0,0,0
27,0.0,0.0,0.0,0.0,1.0,0,0,0.8,0.8,0,1,0,0,1,0,0,0,1,0,0,0
28,0.0,0.0,0.0,0.0,1.0,0,0,0.8,0.8,0,1,0,0,1,0,0,0,1,0,0,0
29,0.4,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.6,0.6,0,1,0,0,0,1,0,0,0,1,0,0
30,0.0,0.0,0.0,0.0,1.0,1,1,0.8,0.8,0,1,0,0,0,0,0,1,0,0,0,1
31,0.0,0.0,0.0,0.0,1.0,1,1,0.8,0.8,0,1,0,0,0,0,0,1,0,0,0,1
32,0.0,0.0,0.0,0.0,1.0,1,1,0.8,0.75,0,1,0,0,0,0,0,1,0,0,0,1
33,0.0,0.0,0.0,0.0,1.0,1,1,0.8,0.75,0,1,0,0,0,0,0,1,0,0,0,1
34,0.0,0.0,0.0,0.0,1.0,1,1,0.8,0.8,0,1,0,0,0,0,0,1,0,0,0,1
35,0.0,0.0,0.0,0.0,1.0,1,1,0.8,0.75,0,1,0,0,0,0,0,1,0,0,0,1
36,0.5,0.25,0.0,0.25,0.5,0,0,0.4,0.4,0,1,0,0,0,1,0,0,0,0,1,0
37,0.5,0.25,0.0,0.25,0.5,0,0,0.4,0.4,0,1,0,0,0,1,0,0,0,1,0,0
38,0.0,0.0,0.0,0.0,1.0,1,1,0.8,0.8,0,1,0,0,0,0,0,1,0,0,0,1
39,0.0,0.0,0.0,0.0,1.0,1,1,0.8,0.75,0,1,0,0,0,0,0,1,0,0,0,1
40,0.0,0.0,0.0,0.0,1.0,1,1,0.8,0.8,0,1,0,0,0,0,0,1,0,0,0,1
41,0.0,0.0,0.0,0.0,1.0,1,1,0.8,0.8,0,1,0,0,0,0,0,1,0,0,0,1
42,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0
43,0.0,0.0,0.0,0.0,1.0,1,1,0.8,0.8,0,1,0,0,0,0,0,1,0,0,0,1
44,0.5,0.25,0.0,0.25,0.5,0,0,0.4,0.4,0,1,0,0,0,1,0,0,0,1,0,0
45,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1,1,0.6,0.6666666666666666,0,1,0,0,0,0,0,1,0,0,0,1
46,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1,0,0.6,0.6,0,1,0,0,0,0,0,1,0,1,0,0
47,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1,1,0.6,0.5,0,1,0,0,0,0,0,1,0,0,0,1
48,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1,1,0.6,0.6666666666666666,0,1,0,0,0,0,0,1,0,0,0,1
49,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1,1,0.6,0.5,0,1,0,0,0,0,0,1,0,0,0,1
50,0.0,0.25,0.5,0.0,0.25,0,0,0.4,0.4,0,1,0,0,0,0,1,0,0,0,1,0
51,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1,2,0.6,0.6,0,1,0,0,0,0,0,1,0,0,0,1
52,0.0,0.25,0.5,0.0,0.25,0,0,0.4,0.4,0,1,0,0,0,0,1,0,0,0,1,0
53,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1,1,0.6,0.6,0,1,0,0,0,0,0,1,0,0,0,1
54,0.0,0.0,0.0,0.0,1.0,1,1,0.8,0.8,0,1,0,0,0,1,0,0,0,1,0,0
55,0.0,0.0,0.0,0.0,1.0,1,1,0.8,0.8,0,1,0,0,0,1,0,0,0,1,0,0
56,0.0,0.0,0.0,0.0,1.0,1,1,0.8,0.8,0,1,0,0,0,1,0,0,0,1,0,0
57,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1,1,0.6,0.6666666666666666,0,1,0,0,0,0,0,1,0,0,0,1
58,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0,1,0,0,0,0,1,0,0,0,1,0
59,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1,1,0.6,0.5,0,1,0,0,0,0,0,1,0,0,0,1
60,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0,0,1,0,0,1,0,0,0,1,0,0
61,0.0,0.25,0.5,0.0,0.25,0,0,0.4,0.4,0,0,1,0,0,0,1,0,0,0,1,0
62,0.0,0.0,0.5,0.0,0.5,1,1,0.8,0.75,0,0,1,0,0,0,0,1,0,0,0,1
63,0.0,0.25,0.25,0.0,0.5,0,0,0.4,0.4,0,0,1,0,0,1,0,0,0,1,0,0
64,0.0,0.0,0.5,0.0,0.5,1,1,0.8,0.75,0,0,1,0,0,0,0,1,0,0,0,1
65,0.0,0.0,0.5,0.0,0.5,1,1,0.8,0.6666666666666666,0,0,1,0,0,0,0,1,0,0,0,1
66,0.0,0.0,0.5,0.0,0.5,1,1,0.8,0.8,0,0,1,0,0,0,0,1,0,0,0,1
67,0.0,0.25,0.25,0.0,0.5,0,0,0.4,0.4,0,0,1,0,0,1,0,0,1,0,0,0
68,0.0,0.25,0.25,0.0,0.5,0,0,0.4,0.4,0,0,1,0,0,1,0,0,0,1,0,0
69,0.0,0.0,0.5,0.0,0.5,1,0,0.8,0.8,0,0,1,0,0,0,0,1,1,0,0,0
70,0.0,0.25,0.25,0.0,0.5,0,0,0.4,0.4,0,0,1,0,0,1,0,0,0,0,1,0
71,0.0,0.0,0.5,0.0,0.5,1,1,0.8,0.8,0,0,1,0,0,0,0,1,0,0,0,1
72,0.0,0.0,0.5,0.0,0.5,1,1,0.8,0.6666666666666666,0,0,1,0,0,0,0,1,0,0,0,1
73,0.0,0.0,0.5,0.0,0.5,1,1,0.8,0.8,0,0,1,0,0,0,0,1,0,0,0,1
74,0.0,0.25,0.25,0.0,0.5,0,0,0.4,0.4,0,0,1,0,0,1,0,0,0,1,0,0
75,0.0,0.5,0.5,0.0,0.0,1,1,0.75,0.75,0,0,1,0,0,0,0,1,0,0,0,1
76,0.0,0.5,0.5,0.0,0.0,1,1,0.75,0.75,0,0,1,0,0,0,0,1,0,0,0,1
77,0.0,0.5,0.5,0.0,0.0,1,0,0.75,0.75,0,0,1,0,0,0,0,1,0,0,1,0
