,log
0,"ggfb, afb, adfegc, fagdce, afcde, fagdce, gab, ac, afbde, afgdec, acghef, gafdce, fgacd, ecde, fage, fhgaec, bfga, afgcde, fgb, afbg, fagcde, gfab, ghdahec, fbag, gfacdc, agb, gfabh, gcafde, fgadche, fbga, afgcde, gaf, afbg, gfacd, abgfh, fcagf, afgcc, gafcde, fagcde, fgab, bfda, gafcde, fag, gab, afhbg, gfab, egcade, gfcade, afgchdeh, gafhce"
1,"ggfb, afb, adfegc, fagdce, afcde, fagdce, gab, ac, afbde, afgdec, acghef, gafdce, fgacd, ecde, fage, fhgaec, bfga, afgcde, fgb, afbg, fagcde, gfab, ghdahec, fbag, gfacdc, agb, gfabh, gcafde, fgadche, fbga, afgcde, gaf, afbg, gfacd, abgfh, fcagf, afgcc, gafcde, fagcde, fgab, bfda, gafcde, fag, gab, afhbg, gfab, egcade, gfcade, afgchdeh, gafhce"
2,"ggfb, afb, adfegc, fagdce, afcde, fagdce, gab, ac, afbde, afgdec, acghef, gafdce, fgacd, ecde, fage, fhgaec, bfga, afgcde, fgb, afbg, fagcde, gfab, ghdahec, fbag, gfacdc, agb, gfabh, gcafde, fgadche, fbga, afgcde, gaf, afbg, gfacd, abgfh, fcagf, afgcc, gafcde, fagcde, fgab, bfda, gafcde, fag, gab, afhbg, gfab, egcade, gfcade, afgchdeh, gafhce"
3,"ggfb, afb, adfegc, fagdce, afcde, fagdce, gab, ac, afbde, afgdec, acghef, gafdce, fgacd, ecde, fage, fhgaec, bfga, afgcde, fgb, afbg, fagcde, gfab, ghdahec, fbag, gfacdc, agb, gfabh, gcafde, fgadche, fbga, afgcde, gaf, afbg, gfacd, abgfh, fcagf, afgcc, gafcde, fagcde, fgab, bfda, gafcde, fag, gab, afhbg, gfab, egcade, gfcade, afgchdeh, gafhce"
4,"ggfb, afb, adfegc, fagdce, afcde, fagdce, gab, ac, afbde, afgdec, acghef, gafdce, fgacd, ecde, fage, fhgaec, bfga, afgcde, fgb, afbg, fagcde, gfab, ghdahec, fbag, gfacdc, agb, gfabh, gcafde, fgadche, fbga, afgcde, gaf, afbg, gfacd, abgfh, fcagf, afgcc, gafcde, fagcde, fgab, bfda, gafcde, fag, gab, afhbg, gfab, egcade, gfcade, afgchdeh, gafhce"
5,"ggfb, afb, adfegc, fagdce, afcde, fagdce, gab, ac, afbde, afgdec, acghef, gafdce, fgacd, ecde, fage, fhgaec, bfga, afgcde, fgb, afbg, fagcde, gfab, ghdahec, fbag, gfacdc, agb, gfabh, gcafde, fgadche, fbga, afgcde, gaf, afbg, gfacd, abgfh, fcagf, afgcc, gafcde, fagcde, fgab, bfda, gafcde, fag, gab, afhbg, gfab, egcade, gfcade, afgchdeh, gafhce"
6,"ggfb, afb, adfegc, fagdce, afcde, fagdce, gab, ac, afbde, afgdec, acghef, gafdce, fgacd, ecde, fage, fhgaec, bfga, afgcde, fgb, afbg, fagcde, gfab, ghdahec, fbag, gfacdc, agb, gfabh, gcafde, fgadche, fbga, afgcde, gaf, afbg, gfacd, abgfh, fcagf, afgcc, gafcde, fagcde, fgab, bfda, gafcde, fag, gab, afhbg, gfab, egcade, gfcade, afgchdeh, gafhce"
7,"ggfb, afb, adfegc, fagdce, afcde, fagdce, gab, ac, afbde, afgdec, acghef, gafdce, fgacd, ecde, fage, fhgaec, bfga, afgcde, fgb, afbg, fagcde, gfab, ghdahec, fbag, gfacdc, agb, gfabh, gcafde, fgadche, fbga, afgcde, gaf, afbg, gfacd, abgfh, fcagf, afgcc, gafcde, fagcde, fgab, bfda, gafcde, fag, gab, afhbg, gfab, egcade, gfcade, afgchdeh, gafhce"
8,"ggfb, afb, adfegc, fagdce, afcde, fagdce, gab, ac, afbde, afgdec, acghef, gafdce, fgacd, ecde, fage, fhgaec, bfga, afgcde, fgb, afbg, fagcde, gfab, ghdahec, fbag, gfacdc, agb, gfabh, gcafde, fgadche, fbga, afgcde, gaf, afbg, gfacd, abgfh, fcagf, afgcc, gafcde, fagcde, fgab, bfda, gafcde, fag, gab, afhbg, gfab, egcade, gfcade, afgchdeh, gafhce"
9,"ggfb, afb, adfegc, fagdce, afcde, fagdce, gab, ac, afbde, afgdec, acghef, gafdce, fgacd, ecde, fage, fhgaec, bfga, afgcde, fgb, afbg, fagcde, gfab, ghdahec, fbag, gfacdc, agb, gfabh, gcafde, fgadche, fbga, afgcde, gaf, afbg, gfacd, abgfh, fcagf, afgcc, gafcde, fagcde, fgab, bfda, gafcde, fag, gab, afhbg, gfab, egcade, gfcade, afgchdeh, gafhce"
10,"ggfb, afb, adfegc, fagdce, afcde, fagdce, gab, ac, afbde, afgdec, acghef, gafdce, fgacd, ecde, fage, fhgaec, bfga, afgcde, fgb, afbg, fagcde, gfab, ghdahec, fbag, gfacdc, agb, gfabh, gcafde, fgadche, fbga, afgcde, gaf, afbg, gfacd, abgfh, fcagf, afgcc, gafcde, fagcde, fgab, bfda, gafcde, fag, gab, afhbg, gfab, egcade, gfcade, afgchdeh, gafhce"
11,"ggfb, afb, adfegc, fagdce, afcde, fagdce, gab, ac, afbde, afgdec, acghef, gafdce, fgacd, ecde, fage, fhgaec, bfga, afgcde, fgb, afbg, fagcde, gfab, ghdahec, fbag, gfacdc, agb, gfabh, gcafde, fgadche, fbga, afgcde, gaf, afbg, gfacd, abgfh, fcagf, afgcc, gafcde, fagcde, fgab, bfda, gafcde, fag, gab, afhbg, gfab, egcade, gfcade, afgchdeh, gafhce"
12,"ggfb, afb, adfegc, fagdce, afcde, fagdce, gab, ac, afbde, afgdec, acghef, gafdce, fgacd, ecde, fage, fhgaec, bfga, afgcde, fgb, afbg, fagcde, gfab, ghdahec, fbag, gfacdc, agb, gfabh, gcafde, fgadche, fbga, afgcde, gaf, afbg, gfacd, abgfh, fcagf, afgcc, gafcde, fagcde, fgab, bfda, gafcde, fag, gab, afhbg, gfab, egcade, gfcade, afgchdeh, gafhce"
13,"ggfb, afb, adfegc, fagdce, afcde, fagdce, gab, ac, afbde, afgdec, acghef, gafdce, fgacd, ecde, fage, fhgaec, bfga, afgcde, fgb, afbg, fagcde, gfab, ghdahec, fbag, gfacdc, agb, gfabh, gcafde, fgadche, fbga, afgcde, gaf, afbg, gfacd, abgfh, fcagf, afgcc, gafcde, fagcde, fgab, bfda, gafcde, fag, gab, afhbg, gfab, egcade, gfcade, afgchdeh, gafhce"
14,"ggfb, afb, adfegc, fagdce, afcde, fagdce, gab, ac, afbde, afgdec, acghef, gafdce, fgacd, ecde, fage, fhgaec, bfga, afgcde, fgb, afbg, fagcde, gfab, ghdahec, fbag, gfacdc, agb, gfabh, gcafde, fgadche, fbga, afgcde, gaf, afbg, gfacd, abgfh, fcagf, afgcc, gafcde, fagcde, fgab, bfda, gafcde, fag, gab, afhbg, gfab, egcade, gfcade, afgchdeh, gafhce"
15,"bdgha, bdefc, debhg, baghc, dcg, cahbg, biahgc, badbf, dbefa, ghabd, aacff, bahigc, gaihbd, cabhg, bace, bagc, baecc, baicgh, dhdag, bdfc, badhg, dbag, cbefa, biacef, badef, daiebf, bacg, badhg, gcgaa, dagef, gbhcc, badgh, aefa, baded, beca, bciae, efcbai, bcaef, dibeifa, eacef, cbagh, bacgh, cbah, biahcg, bdagh, acgbh, badhg, baefd, badgh, bae"
16,"bdgha, bdefc, debhg, baghc, dcg, cahbg, biahgc, badbf, dbefa, ghabd, aacff, bahigc, gaihbd, cabhg, bace, bagc, baecc, baicgh, dhdag, bdfc, badhg, dbag, cbefa, biacef, badef, daiebf, bacg, badhg, gcgaa, dagef, gbhcc, badgh, aefa, baded, beca, bciae, efcbai, bcaef, dibeifa, eacef, cbagh, bacgh, cbah, biahcg, bdagh, acgbh, badhg, baefd, badgh, bae"
17,"bdgha, bdefc, debhg, baghc, dcg, cahbg, biahgc, badbf, dbefa, ghabd, aacff, bahigc, gaihbd, cabhg, bace, bagc, baecc, baicgh, dhdag, bdfc, badhg, dbag, cbefa, biacef, badef, daiebf, bacg, badhg, gcgaa, dagef, gbhcc, badgh, aefa, baded, beca, bciae, efcbai, bcaef, dibeifa, eacef, cbagh, bacgh, cbah, biahcg, bdagh, acgbh, badhg, baefd, badgh, bae"
18,"bdgha, bdefc, debhg, baghc, dcg, cahbg, biahgc, badbf, dbefa, ghabd, aacff, bahigc, gaihbd, cabhg, bace, bagc, baecc, baicgh, dhdag, bdfc, badhg, dbag, cbefa, biacef, badef, daiebf, bacg, badhg, gcgaa, dagef, gbhcc, badgh, aefa, baded, beca, bciae, efcbai, bcaef, dibeifa, eacef, cbagh, bacgh, cbah, biahcg, bdagh, acgbh, badhg, baefd, badgh, bae"
19,"bdgha, bdefc, debhg, baghc, dcg, cahbg, biahgc, badbf, dbefa, ghabd, aacff, bahigc, gaihbd, cabhg, bace, bagc, baecc, baicgh, dhdag, bdfc, badhg, dbag, cbefa, biacef, badef, daiebf, bacg, badhg, gcgaa, dagef, gbhcc, badgh, aefa, baded, beca, bciae, efcbai, bcaef, dibeifa, eacef, cbagh, bacgh, cbah, biahcg, bdagh, acgbh, badhg, baefd, badgh, bae"
20,"bdgha, bdefc, debhg, baghc, dcg, cahbg, biahgc, badbf, dbefa, ghabd, aacff, bahigc, gaihbd, cabhg, bace, bagc, baecc, baicgh, dhdag, bdfc, badhg, dbag, cbefa, biacef, badef, daiebf, bacg, badhg, gcgaa, dagef, gbhcc, badgh, aefa, baded, beca, bciae, efcbai, bcaef, dibeifa, eacef, cbagh, bacgh, cbah, biahcg, bdagh, acgbh, badhg, baefd, badgh, bae"
21,"bdgha, bdefc, debhg, baghc, dcg, cahbg, biahgc, badbf, dbefa, ghabd, aacff, bahigc, gaihbd, cabhg, bace, bagc, baecc, baicgh, dhdag, bdfc, badhg, dbag, cbefa, biacef, badef, daiebf, bacg, badhg, gcgaa, dagef, gbhcc, badgh, aefa, baded, beca, bciae, efcbai, bcaef, dibeifa, eacef, cbagh, bacgh, cbah, biahcg, bdagh, acgbh, badhg, baefd, badgh, bae"
22,"bdgha, bdefc, debhg, baghc, dcg, cahbg, biahgc, badbf, dbefa, ghabd, aacff, bahigc, gaihbd, cabhg, bace, bagc, baecc, baicgh, dhdag, bdfc, badhg, dbag, cbefa, biacef, badef, daiebf, bacg, badhg, gcgaa, dagef, gbhcc, badgh, aefa, baded, beca, bciae, efcbai, bcaef, dibeifa, eacef, cbagh, bacgh, cbah, biahcg, bdagh, acgbh, badhg, baefd, badgh, bae"
23,"bdgha, bdefc, debhg, baghc, dcg, cahbg, biahgc, badbf, dbefa, ghabd, aacff, bahigc, gaihbd, cabhg, bace, bagc, baecc, baicgh, dhdag, bdfc, badhg, dbag, cbefa, biacef, badef, daiebf, bacg, badhg, gcgaa, dagef, gbhcc, badgh, aefa, baded, beca, bciae, efcbai, bcaef, dibeifa, eacef, cbagh, bacgh, cbah, biahcg, bdagh, acgbh, badhg, baefd, badgh, bae"
24,"bdgha, bdefc, debhg, baghc, dcg, cahbg, biahgc, badbf, dbefa, ghabd, aacff, bahigc, gaihbd, cabhg, bace, bagc, baecc, baicgh, dhdag, bdfc, badhg, dbag, cbefa, biacef, badef, daiebf, bacg, badhg, gcgaa, dagef, gbhcc, badgh, aefa, baded, beca, bciae, efcbai, bcaef, dibeifa, eacef, cbagh, bacgh, cbah, biahcg, bdagh, acgbh, badhg, baefd, badgh, bae"
25,"bdgha, bdefc, debhg, baghc, dcg, cahbg, biahgc, badbf, dbefa, ghabd, aacff, bahigc, gaihbd, cabhg, bace, bagc, baecc, baicgh, dhdag, bdfc, badhg, dbag, cbefa, biacef, badef, daiebf, bacg, badhg, gcgaa, dagef, gbhcc, badgh, aefa, baded, beca, bciae, efcbai, bcaef, dibeifa, eacef, cbagh, bacgh, cbah, biahcg, bdagh, acgbh, badhg, baefd, badgh, bae"
