,#node,depth,m_tree,root-op,sub_depth,tree
0,11,5,"+( f, g, a, X( +( ->( d, e ), c, h ), b ) )",+,3,"+( f, g, a, X( +( ->( d, e ), c ), b ) )"
1,11,5,"+( f, g, a, X( c, b ) )",+,3,"+( f, g, a, X( +( ->( d, e ), c ), b ) )"
2,11,5,"+( f, g, a, X( +( ->( d, e ), c, h ), b ) )",+,3,"+( f, g, a, X( +( ->( d, e ), c ), b ) )"
3,11,5,"+( f, g, a, X( +( ->( d, e, h ), c ), b ) )",+,3,"+( f, g, a, X( +( ->( d, e ), c ), b ) )"
4,11,5,"+( f, g, a, X( +( +( d, e ), c ), b ) )",+,3,"+( f, g, a, X( +( ->( d, e ), c ), b ) )"
5,11,5,"+( f, g, a, X( +( ->( d, e ), c, h ), b ) )",+,4,"+( f, g, a, X( +( ->( d, e ), c ), b ) )"
6,11,5,"+( f, g, a, X( +( ->( d, e ), c, h ), b ) )",+,4,"+( f, g, a, X( +( ->( d, e ), c ), b ) )"
7,11,5,"+( f, g, a, ->( d, e ), c )",+,4,"+( f, g, a, X( +( ->( d, e ), c ), b ) )"
8,11,5,"+( f, g, a, X( ->( d, e ), b ) )",+,4,"+( f, g, a, X( +( ->( d, e ), c ), b ) )"
9,11,5,"+( f, g, a, X( +( ->( d, e, h ), c ), b ) )",+,4,"+( f, g, a, X( +( ->( d, e ), c ), b ) )"
10,11,5,"+( f, g, a, X( +( ->( d, e ), c ), b ), h )",+,5,"+( f, g, a, X( +( ->( d, e ), c ), b ) )"
11,11,5,"->( f, g, a, X( +( ->( d, e ), c ), b ) )",+,5,"+( f, g, a, X( +( ->( d, e ), c ), b ) )"
12,11,5,"+( f, g, a, X( +( ->( d, e ), c, h ), b ) )",+,5,"+( f, g, a, X( +( ->( d, e ), c ), b ) )"
13,11,5,"+( f, g, a, X( +( ->( d, e ), c ), b, h ) )",+,5,"+( f, g, a, X( +( ->( d, e ), c ), b ) )"
14,11,5,"+( f, g, a, X( +( ->( d, e ), c ), b ), h )",+,5,"+( f, g, a, X( +( ->( d, e ), c ), b ) )"
15,14,5,"->( +( X( +( g, h ), ->( e, f, i ) ), X( c, d ), b ), a )",->,3,"->( +( X( +( g, h ), ->( e, f ) ), X( c, d ), b ), a )"
16,14,5,"->( +( X( +( g, h ), *( e, f, τ ) ), X( c, d ), b ), a )",->,3,"->( +( X( +( g, h ), ->( e, f ) ), X( c, d ), b ), a )"
17,14,5,"->( +( X( +( g, h ), ->( e, f ) ), c, b ), a )",->,3,"->( +( X( +( g, h ), ->( e, f ) ), X( c, d ), b ), a )"
18,14,5,"->( +( X( *( g, h, τ ), ->( e, f ) ), X( c, d ), b ), a )",->,3,"->( +( X( +( g, h ), ->( e, f ) ), X( c, d ), b ), a )"
19,14,5,"->( +( X( h, ->( e, f ) ), X( c, d ), b ), a )",->,3,"->( +( X( +( g, h ), ->( e, f ) ), X( c, d ), b ), a )"
20,14,5,"->( +( X( +( g, h, i ), ->( e, f ) ), X( c, d ), b ), a )",->,4,"->( +( X( +( g, h ), ->( e, f ) ), X( c, d ), b ), a )"
21,14,5,"->( +( +( +( g, h ), ->( e, f ) ), X( c, d ), b ), a )",->,4,"->( +( X( +( g, h ), ->( e, f ) ), X( c, d ), b ), a )"
22,14,5,"->( +( X( h, ->( e, f ) ), X( c, d ), b ), a )",->,4,"->( +( X( +( g, h ), ->( e, f ) ), X( c, d ), b ), a )"
23,14,5,"->( +( X( +( g, h ), ->( e, f, i ) ), X( c, d ), b ), a )",->,4,"->( +( X( +( g, h ), ->( e, f ) ), X( c, d ), b ), a )"
24,14,5,"->( +( X( +( g, h ), ->( e, f ) ), +( c, d ), b ), a )",->,4,"->( +( X( +( g, h ), ->( e, f ) ), X( c, d ), b ), a )"
25,14,5,"->( +( X( +( g, h ), *( e, f, τ ) ), X( c, d ), b ), a )",->,5,"->( +( X( +( g, h ), ->( e, f ) ), X( c, d ), b ), a )"
26,14,5,"->( +( X( c, d ), b ), a )",->,5,"->( +( X( +( g, h ), ->( e, f ) ), X( c, d ), b ), a )"
27,14,5,"->( +( X( +( g, h ), ->( e, f ) ), X( c, d ), b, i ), a )",->,5,"->( +( X( +( g, h ), ->( e, f ) ), X( c, d ), b ), a )"
28,14,5,"->( +( X( +( g, h ), ->( e, f ) ), c, b ), a )",->,5,"->( +( X( +( g, h ), ->( e, f ) ), X( c, d ), b ), a )"
29,14,5,"->( +( X( +( g, h ), ->( e, f ), i ), X( c, d ), b ), a )",->,5,"->( +( X( +( g, h ), ->( e, f ) ), X( c, d ), b ), a )"
30,14,5,"->( *( ->( X( g, h ), d ), X( b, c, e, f ), τ ), a )",->,3,"->( *( ->( X( g, h ), d ), +( b, c, e, f ), τ ), a )"
31,14,5,"->( *( ->( X( g, h ), d, j ), +( b, c, e, f ), τ ), a )",->,3,"->( *( ->( X( g, h ), d ), +( b, c, e, f ), τ ), a )"
32,14,5,"->( *( ->( g, d ), +( b, c, e, f ), τ ), a )",->,3,"->( *( ->( X( g, h ), d ), +( b, c, e, f ), τ ), a )"
33,14,5,"->( *( ->( h, d ), +( b, c, e, f ), τ ), a )",->,3,"->( *( ->( X( g, h ), d ), +( b, c, e, f ), τ ), a )"
